					Velocity	Cruising	Cruising	Bursting	Bursting	Freezing	Freezing	Turn angle	Meander	Angular velocity	Rotation	Rotation 2
Medium	Trial     2	B1	0:18:00-0:19:00	In Arena	3.67952	168	6.92	1	0.2	77	48.16	131.942	17.406	3298.55	21	31
Medium	Trial     2	B1	0:19:00-0:20:00	In Arena	7.45933	371	17.52	19	2.92	32	28.28	87.3036	10.9614	2182.59	8	7
Medium	Trial     2	B1	0:20:00-0:21:00	In Arena	4.84413	278	11.72	6	0.8	47	38.24	82.5329	15.4324	2063.32	5	7
Medium	Trial     2	B1	0:21:00-0:22:00	In Arena	4.44857	195	8.88	7	1.2	48	44.16	100.035	20.7881	2500.87	11	14
Medium	Trial     2	B1	0:22:00-0:23:00	In Arena	3.19643	131	5.24	0	0	39	50.28	101.234	21.8853	2530.85	11	9
Medium	Trial     2	B1	0:23:00-0:24:00	In Arena	3.37173	150	6.08	1	0.08	32	48.72	91.6648	19.4419	2291.62	2	9
Medium	Trial     2	B1	0:24:00-0:25:00	In Arena	2.85369	128	5.12	0	0	27	50.28	94.2443	22.421	2356.11	4	3
Medium	Trial     2	B1	0:25:00-0:26:00	In Arena	4.31833	191	8.48	9	1.16	35	44.6	78.3358	18.7714	1958.4	11	8
Medium	Trial     2	B1	0:26:00-0:27:00	In Arena	4.09457	150	7.28	10	1.48	30	47.48	87.2602	27.4959	2181.51	8	3
Medium	Trial     2	B1	0:27:00-0:28:00	In Arena	4.32548	191	9.12	10	1.72	50	44.48	97.9436	26.0448	2448.59	9	7
Medium	Trial     2	B1	0:28:00-0:29:00	In Arena	5.02183	216	10.48	10	2.08	40	41.84	88.4333	26.2963	2210.83	8	6
Medium	Trial     2	B1	0:29:00-0:30:00	In Arena	4.52802	261	10.76	3	0.32	62	40.16	95.2422	16.2204	2381.05	10	5
Medium	Trial     2	B1	0:30:00-0:31:00	In Arena	5.85291	119	9.08	13	4.64	8	46.24	108.958	30.8002	2723.94	4	1
Medium	Trial     2	B1	0:31:00-0:32:00	In Arena	1.45396	0	0	0	0	1	60	126.938	34.9397	3173.46	0	0
Medium	Trial     2	B1	0:32:00-0:33:00	In Arena	3.70612	140	7.16	9	1.72	21	47.72	113.87	25.3399	2846.74	4	10
Medium	Trial     2	B1	0:33:00-0:34:00	In Arena	5.05704	171	9.2	12	2.52	30	44.64	103.105	26.4848	2577.62	8	10
Medium	Trial     2	B1	0:34:00-0:35:00	In Arena	3.95822	181	8.04	7	1.04	48	45.88	108.879	25.0655	2721.97	12	17
Medium	Trial     2	B1	0:35:00-0:36:00	In Arena	0.97003	0	0	0	0	1	60	117.305	44.8428	2932.64	1	0
Medium	Trial     2	B1	0:36:00-0:37:00	In Arena	3.69784	195	8.68	5	0.96	48	44.52	103.021	27.6662	2575.52	17	13
Medium	Trial     2	B1	0:37:00-0:38:00	In Arena	4.02334	231	9.24	2	0.08	75	43.16	100.742	20.7255	2518.54	13	17
Medium	Trial     2	B1	0:38:00-0:39:00	In Arena	4.63957	283	11.32	0	0	78	38.96	100.428	16.1659	2510.7	10	14
Medium	Trial     2	B1	0:39:00-0:40:00	In Arena	4.92504	261	11.4	5	0.96	59	39.52	94.1968	20.9398	2354.92	6	7
Medium	Trial     2	B1	0:40:00-0:41:00	In Arena	4.64428	290	11.6	0	0	77	38.8	91.9556	17.3104	2298.89	6	11
Medium	Trial     2	B1	0:41:00-0:42:00	In Arena	3.89894	228	9.12	0	0	48	42.72	94.6075	24.5123	2365.19	7	6
Medium	Trial     2	B1	0:42:00-0:43:00	In Arena	4.72053	313	12.52	0	0	108	37.64	109.868	15.4187	2746.69	19	9
Medium	Trial     2	B1	0:43:00-0:44:00	In Arena	4.52841	227	10.24	8	1.32	50	41.8	89.9693	21.7687	2249.23	15	11
Medium	Trial     2	B1	0:44:00-0:45:00	In Arena	4.58117	243	10.8	8	1.32	54	37.48	88.5874	21.0111	2214.68	7	10
Medium	Trial     2	C1	0:01:00-0:02:00	In Arena	NA	0	0	0	0	0	0	NA	NA	NA	0	0
Medium	Trial     2	C1	0:02:00-0:03:00	In Arena	3.18492	10	0.6	1	0.2	7	15.2	121.902	21.8665	3047.54	1	2
Medium	Trial     2	C1	0:03:00-0:04:00	In Arena	2.77421	38	1.52	0	0	28	57.72	119.164	22.1291	2979.1	10	8
Medium	Trial     2	C1	0:04:00-0:05:00	In Arena	2.52405	38	1.52	0	0	28	57.52	119.518	29.3611	2987.96	11	8
Medium	Trial     2	C1	0:05:00-0:06:00	In Arena	2.09494	3	0.12	0	0	4	59.88	128.632	24.8084	3215.8	1	3
Medium	Trial     2	C1	0:06:00-0:07:00	In Arena	1.9604	6	0.24	0	0	4	59.6	130.61	29.3379	3265.24	3	4
Medium	Trial     2	C1	0:07:00-0:08:00	In Arena	1.95823	6	0.24	0	0	5	59.56	130.649	30.3962	3266.22	4	4
Medium	Trial     2	C1	0:08:00-0:09:00	In Arena	1.89183	0	0	0	0	1	60	129.9	28.8853	3247.49	3	3
Medium	Trial     2	C1	0:09:00-0:10:00	In Arena	2.34969	23	1.04	1	0.16	9	58.24	127.067	24.0519	3176.68	6	0
Medium	Trial     2	C1	0:10:00-0:11:00	In Arena	3.73518	105	5	5	0.92	24	51.12	118.437	17.7849	2960.91	10	7
Medium	Trial     2	C1	0:11:00-0:12:00	In Arena	2.17714	1	0.04	0	0	2	59.92	130.63	23.8081	3265.75	6	2
Medium	Trial     2	C1	0:12:00-0:13:00	In Arena	2.08055	1	0.04	0	0	2	59.92	129.107	23.5473	3227.68	3	1
Medium	Trial     2	C1	0:13:00-0:14:00	In Arena	2.03963	2	0.08	0	0	3	59.8	126.856	24.4996	3171.4	3	2
Medium	Trial     2	C1	0:14:00-0:15:00	In Arena	1.91305	2	0.08	0	0	3	59.88	125.337	28.7565	3133.43	3	2
Medium	Trial     2	C1	0:15:00-0:16:00	In Arena	5.36264	102	6.2	8	2.32	29	50.48	113.689	26.1793	2842.23	10	13
Medium	Trial     2	C1	0:16:00-0:17:00	In Arena	1.74057	6	0.24	0	0	4	59.44	127.963	32.7694	3199.08	9	7
Medium	Trial     2	C1	0:17:00-0:18:00	In Arena	3.25147	142	5.68	2	0.08	24	49.16	115.647	28.3739	2891.17	10	8
Medium	Trial     2	C1	0:18:00-0:19:00	In Arena	1.70977	27	1.08	0	0	4	57.84	119.242	38.8323	2981.05	2	4
Medium	Trial     2	C1	0:19:00-0:20:00	In Arena	1.38023	0	0	0	0	1	60	123.146	39.1642	3078.65	6	5
Medium	Trial     2	C1	0:20:00-0:21:00	In Arena	1.37129	10	0.56	1	0.2	4	59.16	114.457	39.2732	2861.42	3	4
Medium	Trial     2	C1	0:21:00-0:22:00	In Arena	2.7993	78	3.8	7	0.92	7	53.12	122.716	35.53	3067.9	1	3
Medium	Trial     2	C1	0:22:00-0:23:00	In Arena	1.26687	0	0	0	0	1	60	129.987	40.9538	3249.66	0	0
Medium	Trial     2	C1	0:23:00-0:24:00	In Arena	1.28162	0	0	0	0	1	60	127.276	38.4255	3181.91	0	0
Medium	Trial     2	C1	0:24:00-0:25:00	In Arena	1.4544	0	0	0	0	2	59.88	126.189	37.2033	3154.74	0	0
Medium	Trial     2	C1	0:25:00-0:26:00	In Arena	1.52492	0	0	0	0	1	60	126.821	35.4869	3170.53	0	0
Medium	Trial     2	C1	0:26:00-0:27:00	In Arena	1.56669	0	0	0	0	1	60	125.033	35.8276	3125.82	0	1
Medium	Trial     2	C1	0:27:00-0:28:00	In Arena	1.61767	0	0	0	0	1	60	125.667	34.546	3141.67	2	1
Medium	Trial     2	C1	0:28:00-0:29:00	In Arena	2.19558	8	0.32	0	0	5	59.44	125.429	28.4481	3135.73	5	9
Medium	Trial     2	C1	0:29:00-0:30:00	In Arena	2.46538	12	0.48	0	0	9	59.24	123.729	23.7738	3093.21	12	13
Medium	Trial     2	C1	0:30:00-0:31:00	In Arena	2.88251	78	3.96	5	0.92	11	53.08	120.78	34.9071	3019.5	9	7
Medium	Trial     2	C1	0:31:00-0:32:00	In Arena	7.80886	310	16.08	12	3.8	35	32.44	78.3806	16.3364	1959.51	5	5
Medium	Trial     2	C1	0:32:00-0:33:00	In Arena	6.6558	415	17.44	6	0.92	48	26.96	66.4586	9.27754	1661.47	8	9
Medium	Trial     2	C1	0:33:00-0:34:00	In Arena	6.28966	384	16.32	9	1.16	48	29.44	76.9392	10.0957	1923.48	11	8
Medium	Trial     2	C1	0:34:00-0:35:00	In Arena	5.48512	236	11.4	15	2.48	41	39.92	93.719	26.694	2342.97	9	10
Medium	Trial     2	C1	0:35:00-0:36:00	In Arena	1.05329	0	0	0	0	1	60	119.517	47.4252	2987.92	5	3
Medium	Trial     2	C1	0:36:00-0:37:00	In Arena	1.27416	0	0	0	0	1	60	120.277	47.8664	3006.92	3	7
Medium	Trial     2	C1	0:37:00-0:38:00	In Arena	1.58758	8	0.32	0	0	6	59.36	119.89	48.981	2997.25	8	6
Medium	Trial     2	C1	0:38:00-0:39:00	In Arena	1.95738	15	0.6	0	0	10	59	118.661	43.006	2966.53	12	18
Medium	Trial     2	C1	0:39:00-0:40:00	In Arena	2.50927	42	1.68	0	0	23	57.08	121.922	41.5279	3048.06	18	20
Medium	Trial     2	C1	0:40:00-0:41:00	In Arena	2.86294	59	2.36	0	0	35	56.2	120.896	36.8359	3022.4	20	33
Medium	Trial     2	C1	0:41:00-0:42:00	In Arena	3.22302	101	4.04	0	0	65	53.44	123.888	32.499	3097.19	14	22
Medium	Trial     2	C1	0:42:00-0:43:00	In Arena	3.3068	104	4.16	0	0	61	53.16	122.893	32.1763	3072.33	23	34
Medium	Trial     2	C1	0:43:00-0:44:00	In Arena	3.36445	129	5.16	0	0	66	51.2	122.282	32.8759	3057.05	25	27
Medium	Trial     2	C1	0:44:00-0:45:00	In Arena	3.54982	172	6.88	0	0	84	48.04	119.668	29.391	2991.69	21	37
Medium	Trial     3	A3	Start-0:01:00	In Arena	1.81614	35	1.64	3	0.32	6	56.8	113.065	42.2073	2826.64	2	2
Medium	Trial     3	A3	0:01:00-0:02:00	In Arena	1.67794	42	2.44	6	0.92	7	56.04	115.183	57.3483	2879.57	3	0
Medium	Trial     3	A3	0:02:00-0:03:00	In Arena	2.66317	37	1.6	1	0.12	19	57.28	121.608	24.1215	3040.19	11	10
Medium	Trial     3	A3	0:03:00-0:04:00	In Arena	2.47931	36	1.44	0	0	22	57.6	121.655	26.5298	3041.38	13	14
Medium	Trial     3	A3	0:04:00-0:05:00	In Arena	3.27109	79	4.8	10	1.88	19	52.32	113.389	37.2792	2834.72	6	8
Medium	Trial     3	A3	0:05:00-0:06:00	In Arena	2.01307	8	0.32	0	0	8	59.56	120.652	32.3177	3016.29	8	5
Medium	Trial     3	A3	0:06:00-0:07:00	In Arena	2.04237	5	0.2	0	0	6	59.76	123.654	29.7226	3091.34	4	8
Medium	Trial     3	A3	0:07:00-0:08:00	In Arena	1.97965	1	0.04	0	0	4	59.8	120.488	27.6958	3012.19	7	4
Medium	Trial     3	A3	0:08:00-0:09:00	In Arena	2.11903	7	0.28	0	0	7	59.56	124.311	26.7726	3107.77	4	5
Medium	Trial     3	A3	0:09:00-0:10:00	In Arena	2.20426	5	0.2	0	0	4	59.64	123.19	25.1409	3079.75	5	5
Medium	Trial     3	A3	0:10:00-0:11:00	In Arena	2.44561	19	1.2	2	0.44	5	58.12	121.304	22.8755	3032.59	3	4
Medium	Trial     3	A3	0:11:00-0:12:00	In Arena	5.99509	241	12.32	16	3	60	39.48	97.8683	22.3821	2446.71	8	9
Medium	Trial     3	A3	0:12:00-0:13:00	In Arena	3.91632	154	7.44	7	1.32	46	47.44	94.5232	23.2924	2363.08	6	7
Medium	Trial     3	A3	0:13:00-0:14:00	In Arena	2.61771	37	1.48	0	0	19	57.6	122.343	24.6739	3058.57	12	7
Medium	Trial     3	A3	0:14:00-0:15:00	In Arena	2.89699	50	2	0	0	31	56.92	121.428	21.498	3035.69	9	15
Medium	Trial     3	A3	0:15:00-0:16:00	In Arena	3.54531	107	4.28	0	0	56	27.96	124.845	21.148	3121.13	11	15
Medium	Trial     3	A3	0:22:00-0:23:00	In Arena	7.44572	74	4.88	13	2.24	10	13.6	87.4824	38.9897	2187.06	2	2
Medium	Trial     3	A3	0:23:00-0:24:00	In Arena	4.64646	157	9.28	19	3.4	32	45.04	97.0879	38.1599	2427.2	4	5
Medium	Trial     3	A3	0:24:00-0:25:00	In Arena	2.82302	112	4.84	3	0.44	38	51.64	106.641	32.484	2666.03	11	10
Medium	Trial     3	A3	0:25:00-0:26:00	In Arena	3.67039	131	6.24	8	1.24	31	49.28	97.0758	26.2653	2426.89	4	4
Medium	Trial     3	A3	0:26:00-0:27:00	In Arena	2.41449	87	3.92	3	0.56	25	50.64	106.341	42.1348	2658.51	4	7
Medium	Trial     3	A3	0:27:00-0:28:00	In Arena	7.01965	177	12.8	23	6.24	30	40.6	99.6815	37.2014	2492.04	12	14
Medium	Trial     3	A3	0:28:00-0:29:00	In Arena	2.53002	67	2.92	1	0.24	35	55.12	119.464	38.1174	2986.59	5	10
Medium	Trial     3	A3	0:29:00-0:30:00	In Arena	2.91398	57	2.28	0	0	40	56.48	117.899	21.0953	2947.48	10	15
Medium	Trial     3	A3	0:30:00-0:31:00	In Arena	2.0522	21	1.28	3	0.52	8	19.4	109.539	52.0276	2738.47	0	1
Medium	Trial     3	A3	0:31:00-0:32:00	In Arena	0.963763	0	0	0	0	1	60	120.525	48.4217	3013.13	0	0
Medium	Trial     3	A3	0:32:00-0:33:00	In Arena	0.963756	0	0	0	0	1	60	122.473	52.0619	3061.81	0	0
Medium	Trial     3	A3	0:33:00-0:34:00	In Arena	1.03902	0	0	0	0	2	59.88	120.756	45.323	3018.89	0	0
Medium	Trial     3	A3	0:34:00-0:35:00	In Arena	1.09145	0	0	0	0	1	60	119.949	41.075	2998.74	0	0
Medium	Trial     3	A3	0:35:00-0:36:00	In Arena	1.15239	0	0	0	0	1	60	119.431	36.3473	2985.77	0	0
Medium	Trial     3	A3	0:36:00-0:37:00	In Arena	1.06025	0	0	0	0	1	60	120.203	40.5142	3005.08	0	0
Medium	Trial     3	A3	0:37:00-0:38:00	In Arena	1.05574	0	0	0	0	1	60	118.983	43.1105	2974.57	0	0
Medium	Trial     3	A3	0:38:00-0:39:00	In Arena	1.88411	2	1.04	1	0.96	2	58.92	116.57	43.2262	2914.25	0	1
Medium	Trial     3	A3	0:39:00-0:40:00	In Arena	1.48253	18	1.44	3	0.76	6	57.88	120.016	54.1737	3000.4	1	3
Medium	Trial     3	A3	0:40:00-0:41:00	In Arena	1.59591	11	1.4	4	1.04	4	58.12	117.239	56.0198	2930.98	1	0
Medium	Trial     3	A3	0:41:00-0:42:00	In Arena	0.723881	0	0	0	0	1	60	120.776	57.7626	3019.39	0	0
Medium	Trial     3	A3	0:42:00-0:43:00	In Arena	0.815957	0	0	0	0	1	60	122.054	50.9969	3051.35	0	0
Medium	Trial     3	A3	0:43:00-0:44:00	In Arena	0.949363	7	0.4	1	0.16	1	24.84	120.379	52.2179	3009.48	1	0
Medium	Trial     3	A3	0:44:00-0:45:00	In Arena	0.759616	0	0	0	0	0	0	120.929	53.0975	3023.22	0	0
Medium	Trial     3	C3	Start-0:01:00	In Arena	2.16562	15	0.68	1	0.12	4	8.32	109.079	42.5755	2726.98	0	1
Medium	Trial     3	C3	0:01:00-0:02:00	In Arena	0.722271	0	0	0	0	1	60	121.808	62.5787	3045.2	0	0
Medium	Trial     3	C3	0:02:00-0:03:00	In Arena	0.766028	0	0	0	0	1	60	120.069	57.6832	3001.74	0	0
Medium	Trial     3	C3	0:03:00-0:04:00	In Arena	0.763899	0	0	0	0	1	60	121.415	60.078	3035.39	0	0
Medium	Trial     3	C3	0:04:00-0:05:00	In Arena	0.748059	0	0	0	0	1	60	121.299	60.7188	3032.47	0	0
Medium	Trial     3	C3	0:05:00-0:06:00	In Arena	0.757369	0	0	0	0	1	60	120.668	58.7192	3016.69	0	0
Medium	Trial     3	C3	0:06:00-0:07:00	In Arena	0.761135	0	0	0	0	1	60	121.46	56.5868	3036.49	0	0
Medium	Trial     3	C3	0:07:00-0:08:00	In Arena	0.773131	0	0	0	0	3	59.88	120.685	56.9089	3017.12	0	0
Medium	Trial     3	C3	0:08:00-0:09:00	In Arena	0.754993	0	0	0	0	1	60	119.521	58.4919	2988.02	0	0
Medium	Trial     3	C3	0:09:00-0:10:00	In Arena	0.799485	0	0	0	0	1	60	121.907	59.3634	3047.67	0	0
Medium	Trial     3	C3	0:10:00-0:11:00	In Arena	0.774427	0	0	0	0	1	60	120.599	56.4194	3014.97	0	0
Medium	Trial     3	C3	0:11:00-0:12:00	In Arena	0.991663	1	0.24	1	0.2	2	59.72	121.014	51.5865	3025.35	0	0
Medium	Trial     3	C3	0:12:00-0:13:00	In Arena	0.807437	0	0	0	0	1	60	118.485	57.8778	2962.13	0	0
Medium	Trial     3	C3	0:13:00-0:14:00	In Arena	0.676324	0	0	0	0	1	60	119.393	63.6848	2984.82	0	0
Medium	Trial     3	C3	0:14:00-0:15:00	In Arena	0.646692	0	0	0	0	1	60	119.873	66.3888	2996.82	0	0
Medium	Trial     3	C3	0:15:00-0:16:00	In Arena	1.75047	33	2.08	4	0.8	10	56.88	108.612	50.9122	2715.29	3	0
Medium	Trial     3	C3	0:16:00-0:17:00	In Arena	0.699121	0	0	0	0	1	60	118.931	63.1623	2973.27	0	0
Medium	Trial     3	C3	0:17:00-0:18:00	In Arena	0.775175	0	0	0	0	1	60	118.852	55.3842	2971.3	0	0
Medium	Trial     3	C3	0:18:00-0:19:00	In Arena	0.841718	0	0	0	0	1	60	118.685	50.9935	2967.12	0	0
Medium	Trial     3	C3	0:19:00-0:20:00	In Arena	0.948016	0	0	0	0	1	60	120.98	46.4891	3024.51	0	0
Medium	Trial     3	C3	0:20:00-0:21:00	In Arena	0.941498	12	0.68	1	0.2	4	58.96	119.352	64.6858	2983.79	0	0
Medium	Trial     3	C3	0:21:00-0:22:00	In Arena	0.561762	0	0	0	0	1	60	123.178	66.9385	3079.45	0	0
Medium	Trial     3	C3	0:22:00-0:23:00	In Arena	0.584683	0	0	0	0	1	60	123.441	63.7147	3086.02	0	0
Medium	Trial     3	C3	0:23:00-0:24:00	In Arena	0.595792	0	0	0	0	1	60	122.011	63.1103	3050.28	0	0
Medium	Trial     3	C3	0:24:00-0:25:00	In Arena	0.589434	0	0	0	0	1	60	124.528	61.8649	3113.21	0	0
Medium	Trial     3	C3	0:25:00-0:26:00	In Arena	0.606265	0	0	0	0	1	60	123.505	60.7523	3087.63	0	0
Medium	Trial     3	C3	0:26:00-0:27:00	In Arena	0.611628	0	0	0	0	1	60	123.287	61.562	3082.18	0	0
Medium	Trial     3	C3	0:27:00-0:28:00	In Arena	0.597187	0	0	0	0	1	60	121.478	63.1265	3036.96	0	0
Medium	Trial     3	C3	0:28:00-0:29:00	In Arena	0.602581	0	0	0	0	1	60	123.656	63.9459	3091.39	0	0
Medium	Trial     3	C3	0:29:00-0:30:00	In Arena	0.615855	0	0	0	0	1	60	122.365	64.3303	3059.13	0	0
Medium	Trial     3	C3	0:30:00-0:31:00	In Arena	0.715625	3	0.12	0	0	3	59.68	120.657	61.1568	3016.41	0	0
Medium	Trial     3	C3	0:31:00-0:32:00	In Arena	0.720769	0	0	0	0	1	60	120.684	59.0506	3017.11	0	0
Medium	Trial     3	C3	0:32:00-0:33:00	In Arena	0.806696	0	0	0	0	1	60	121.319	57.9011	3032.99	0	0
Medium	Trial     3	C3	0:33:00-0:34:00	In Arena	0.881295	0	0	0	0	2	59.88	120.811	49.2377	3020.27	0	0
Medium	Trial     3	C3	0:34:00-0:35:00	In Arena	0.959952	0	0	0	0	1	60	121.152	46.6165	3028.79	0	0
Medium	Trial     3	C3	0:35:00-0:36:00	In Arena	1.41605	0	0	0	0	1	60	118.768	30.3524	2969.19	0	0
Medium	Trial     3	C3	0:36:00-0:37:00	In Arena	1.20025	0	0	0	0	1	60	120.546	36.0297	3013.64	0	0
Medium	Trial     3	C3	0:37:00-0:38:00	In Arena	1.11788	0	0	0	0	1	60	120.656	39.1667	3016.4	0	0
Medium	Trial     3	C3	0:38:00-0:39:00	In Arena	1.03797	0	0	0	0	1	60	122.285	45.9401	3057.13	0	0
Medium	Trial     3	C3	0:39:00-0:40:00	In Arena	1.01043	0	0	0	0	1	60	119.769	43.3789	2994.24	0	0
Medium	Trial     3	C3	0:40:00-0:41:00	In Arena	0.952022	0	0	0	0	2	59.92	118.955	46.5266	2973.88	0	0
Medium	Trial     3	C3	0:41:00-0:42:00	In Arena	0.933657	0	0	0	0	1	60	118.513	45.9952	2962.83	0	0
Medium	Trial     3	C3	0:42:00-0:43:00	In Arena	0.910316	0	0	0	0	1	60	120.055	46.1534	3001.39	0	0
Medium	Trial     3	C3	0:43:00-0:44:00	In Arena	0.887074	0	0	0	0	1	60	120.213	47.9449	3005.32	0	0
Medium	Trial     3	C3	0:44:00-0:45:00	In Arena	0.99415	17	0.84	1	0.16	3	15.8	119.603	57.0388	2990.09	0	1
Medium	Trial     3	C4	Start-0:01:00	In Arena	NA	0	0	0	0	0	0	NA	NA	NA	0	0
Medium	Trial     3	C4	0:01:00-0:02:00	In Arena	2.83885	46	2.64	4	0.92	28	41.8	114.489	37.9787	2862.23	6	13
Medium	Trial     3	C4	0:02:00-0:03:00	In Arena	1.51357	13	0.96	2	0.44	6	58.6	118.821	44.6993	2970.52	3	2
Medium	Trial     3	C4	0:03:00-0:04:00	In Arena	1.20949	0	0	0	0	1	60	120.131	36.7401	3003.27	1	3
Medium	Trial     3	C4	0:04:00-0:05:00	In Arena	1.14744	0	0	0	0	1	60	119.268	41.5538	2981.71	2	3
Medium	Trial     3	C4	0:05:00-0:06:00	In Arena	3.98769	153	7.52	9	1.52	46	47.28	107.767	26.0467	2694.17	9	14
Medium	Trial     3	C4	0:06:00-0:07:00	In Arena	4.44644	189	8.76	8	1.4	73	44	114.832	20.1162	2870.79	31	20
Medium	Trial     3	C4	0:07:00-0:08:00	In Arena	1.96364	0	0	0	0	8	1.32	NA	NA	NA	1	0
Medium	Trial     3	C4	0:08:00-0:09:00	In Arena	NA	0	0	0	0	5	0.8	NA	NA	NA	0	0
Medium	Trial     3	C4	0:09:00-0:10:00	In Arena	NA	0	0	0	0	3	0.48	NA	NA	NA	0	1
Medium	Trial     3	C4	0:10:00-0:11:00	In Arena	4.22222	43	2.16	4	0.56	12	20.16	122.575	17.4085	3064.38	2	3
Medium	Trial     3	C4	0:11:00-0:12:00	In Arena	2.61388	41	1.64	0	0	28	57.2	120.45	24.1206	3011.26	15	18
Medium	Trial     3	C4	0:12:00-0:13:00	In Arena	2.16445	58	2.48	0	0	17	52.92	119.467	36.3467	2986.68	14	8
Medium	Trial     3	C4	0:13:00-0:14:00	In Arena	NA	0	0	0	0	0	0	NA	NA	NA	1	0
Medium	Trial     3	C4	0:14:00-0:15:00	In Arena	NA	0	0	0	0	0	0	NA	NA	NA	0	0
Medium	Trial     3	C4	0:15:00-0:16:00	In Arena	3.31792	101	4.72	4	0.76	29	48.6	122.531	27.126	3063.27	3	11
Medium	Trial     3	C4	0:16:00-0:17:00	In Arena	3.23593	87	3.48	0	0	47	54.12	128.558	17.3346	3213.94	27	21
Medium	Trial     3	C4	0:17:00-0:18:00	In Arena	2.38014	15	0.6	0	0	14	59.16	132.966	23.2058	3324.15	11	6
Medium	Trial     3	C4	0:18:00-0:19:00	In Arena	2.24782	15	0.88	2	0.36	5	58.6	139.661	25.3361	3491.53	3	8
Medium	Trial     3	C4	0:19:00-0:20:00	In Arena	2.94775	53	2.56	3	0.56	17	55.76	138.303	24.0207	3457.57	14	6
Medium	Trial     3	C4	0:20:00-0:21:00	In Arena	4.00505	180	8.48	10	1.44	48	45.6	97.0313	28.3701	2425.78	9	4
Medium	Trial     3	C4	0:21:00-0:22:00	In Arena	3.47387	137	5.96	2	0.52	62	50.32	113.803	22.259	2845.07	19	19
Medium	Trial     3	C4	0:22:00-0:23:00	In Arena	4.26703	158	8	10	1.88	48	46.72	98.1019	24.7283	2452.55	11	14
Medium	Trial     3	C4	0:23:00-0:24:00	In Arena	2.99507	126	5.04	0	0	68	51.44	121.316	25.7873	3032.9	22	14
Medium	Trial     3	C4	0:24:00-0:25:00	In Arena	3.00916	121	4.84	0	0	62	51.6	125.307	27.2398	3132.67	16	18
Medium	Trial     3	C4	0:25:00-0:26:00	In Arena	4.80337	170	9.08	14	2.52	32	44.72	77.6152	18.3528	1940.38	5	9
Medium	Trial     3	C4	0:26:00-0:27:00	In Arena	4.07061	192	8.04	2	0.4	89	46.48	117.848	18.6741	2946.21	19	30
Medium	Trial     3	C4	0:27:00-0:28:00	In Arena	3.2012	105	4.2	0	0	66	53.36	121.434	21.4315	3035.84	15	28
Medium	Trial     3	C4	0:28:00-0:29:00	In Arena	3.35415	85	3.64	0	0	47	26.88	120.492	23.3862	3012.29	16	11
Medium	Trial     3	C4	0:29:00-0:30:00	In Arena	1.2723	0	0	0	0	7	1.24	NA	NA	NA	0	0
Medium	Trial     3	C4	0:30:00-0:31:00	In Arena	2.68133	26	1.84	4	0.92	6	51.76	131.752	30.858	3293.8	5	2
Medium	Trial     3	C4	0:31:00-0:32:00	In Arena	1.44747	0	0	0	0	1	60	144.924	37.0898	3623.11	0	0
Medium	Trial     3	C4	0:32:00-0:33:00	In Arena	2.22446	40	1.8	2	0.28	12	56.92	140.506	28.538	3512.65	2	2
Medium	Trial     3	C4	0:33:00-0:34:00	In Arena	2.40441	30	1.2	0	0	19	58	140.532	25.106	3513.3	8	7
Medium	Trial     3	C4	0:34:00-0:35:00	In Arena	2.25334	6	0.24	0	0	6	59.6	146.359	26.3611	3658.97	1	7
Medium	Trial     3	C4	0:35:00-0:36:00	In Arena	1.29496	2	0.08	0	0	2	59.88	118.768	41.0123	2969.2	1	3
Medium	Trial     3	C4	0:36:00-0:37:00	In Arena	1.60739	7	0.48	1	0.24	7	58.08	119.513	40.68	2987.81	2	8
Medium	Trial     3	C4	0:37:00-0:38:00	In Arena	5.9999	17	1	3	0.4	9	3.88	112.693	22.5789	2817.32	4	0
Medium	Trial     3	C4	0:38:00-0:39:00	In Arena	1.37745	0	0	0	0	9	1.52	173.66	25.1375	4341.5	0	1
Medium	Trial     3	C4	0:39:00-0:40:00	In Arena	NA	0	0	0	0	9	1.44	NA	NA	NA	0	0
Medium	Trial     3	C4	0:40:00-0:41:00	In Arena	NA	0	0	0	0	5	0.8	NA	NA	NA	1	0
Medium	Trial     3	C4	0:41:00-0:42:00	In Arena	NA	0	0	0	0	10	1.68	NA	NA	NA	1	0
Medium	Trial     3	C4	0:42:00-0:43:00	In Arena	7.53971	12	1.32	0	0	1	0.04	NA	NA	NA	0	0
Medium	Trial     3	C4	0:43:00-0:44:00	In Arena	NA	0	0	0	0	0	0	NA	NA	NA	1	0
Medium	Trial     3	C4	0:44:00-0:45:00	In Arena	NA	0	0	0	0	0	0	NA	NA	NA	0	0
Medium	Trial     4	A1	Start-0:01:00	In Arena	2.43792	74	3.32	5	0.52	16	54.04	110.643	33.4013	2766.07	11	2
Medium	Trial     4	A1	0:01:00-0:02:00	In Arena	2.56179	58	3.16	6	0.96	13	54.8	111.068	35.3618	2776.7	2	4
Medium	Trial     4	A1	0:02:00-0:03:00	In Arena	3.08442	123	5.68	9	0.88	25	50	105.754	34.9233	2643.85	4	4
Medium	Trial     4	A1	0:03:00-0:04:00	In Arena	2.29573	45	3.16	8	1.52	8	55.2	111.723	41.8281	2793.07	1	2
Medium	Trial     4	A1	0:04:00-0:05:00	In Arena	2.64605	98	4.68	6	0.84	28	51.8	107.693	42.3024	2692.34	6	5
